类型,红球,篮球
大乐透,"04,19,20,25,32","03,09"
大乐透,"12,27,32,33,35","07,09"
大乐透,"12,17,20,32,34","03,06"
大乐透,"08,10,17,26,34","06,12"
大乐透,"03,14,15,25,31","08,10"
大乐透,"05,13,15,31,32","03,11"
大乐透,"03,05,06,10,15","07,09"
大乐透,"11,12,14,27,29","03,10"
大乐透,"10,22,25,26,34","04,10"
大乐透,"16,18,21,27,33","01,12"
大乐透,"09,18,20,21,32","03,09"
大乐透,"03,06,17,26,30","05,06"
大乐透,"12,20,24,27,31","02,04"
大乐透,"05,12,14,21,27","06,10"
大乐透,"03,05,22,27,33","01,12"
大乐透,"09,16,19,24,33","07,11"
大乐透,"23,24,25,33,34","02,03"
大乐透,"02,05,27,33,34","04,06"
大乐透,"10,11,12,15,21","05,09"
大乐透,"04,17,19,20,27","04,05"
大乐透,"03,11,22,30,32","06,09"
大乐透,"01,03,27,32,33","07,10"
大乐透,"03,09,10,22,24","02,10"
大乐透,"14,15,17,33,35","01,09"
大乐透,"07,12,13,27,32","01,03"
大乐透,"01,10,13,25,33","03,06"
大乐透,"05,14,18,20,21","04,09"
大乐透,"06,09,12,27,32","04,05"
大乐透,"06,10,23,27,34","03,04"
大乐透,"03,05,20,24,26","02,09"
大乐透,"08,10,23,24,34","05,10"
大乐透,"02,03,10,15,32","01,09"
大乐透,"06,07,12,15,25","04,09"
大乐透,"07,12,25,30,31","06,07"
大乐透,"05,09,13,24,26","03,06"
大乐透,"01,09,10,14,17","01,03"
大乐透,"06,23,25,28,34","06,11"
大乐透,"05,15,20,30,32","08,11"
大乐透,"10,11,14,24,33","02,05"
大乐透,"04,10,12,14,24","01,03"
大乐透,"04,14,17,22,35","09,10"
大乐透,"06,14,22,24,25","06,07"
大乐透,"20,25,27,32,34","01,03"
大乐透,"03,13,20,21,28","01,05"
大乐透,"01,24,25,26,28","01,06"
大乐透,"09,16,17,23,34","05,08"
大乐透,"08,14,16,25,27","04,06"
大乐透,"16,21,25,26,32","09,10"
大乐透,"17,24,25,33,34","03,09"
大乐透,"02,05,14,16,21","03,07"
大乐透,"08,15,16,17,20","03,09"
大乐透,"01,02,10,20,21","06,08"
大乐透,"07,10,18,25,33","01,06"
大乐透,"21,25,31,32,34","03,09"
大乐透,"05,16,19,20,33","03,10"
大乐透,"03,05,15,20,34","11,12"
大乐透,"04,09,15,20,30","05,09"
大乐透,"14,23,30,31,33","03,09"
大乐透,"08,15,21,27,32","10,11"
大乐透,"03,09,25,27,30","01,03"
大乐透,"03,09,17,30,34","05,12"
大乐透,"03,06,24,26,27","03,11"
大乐透,"03,04,05,08,25","04,09"
大乐透,"01,07,19,21,24","01,10"
大乐透,"05,07,09,13,18","03,05"
大乐透,"11,14,21,28,33","04,10"
大乐透,"07,10,25,32,35","04,06"
大乐透,"03,05,10,19,32","02,10"
大乐透,"11,19,25,33,34","09,11"
大乐透,"02,12,16,33,35","03,06"
大乐透,"7,9,17,20,33","9,9"
大乐透,"6,9,32,33,33","3,8"
大乐透,"16,17,20,25,32","6,8"
大乐透,"2,9,18,25,33","6,12"
大乐透,"6,17,17,27,32","7,9"
大乐透,"03,04,05,07,08","09,10"
大乐透,"04,06,07,31,32","02,10"
大乐透,"09,11,25,28,35","01,09"
大乐透,"12,14,17,20,32","01,02"
大乐透,"10,16,21,22,32","02,06"
大乐透,"14,21,31,34,35","02,05"
大乐透,"05,07,13,26,27","06,10"
大乐透,"02,05,28,31,32","03,09"
大乐透,"13,14,28,30,32","03,10"
大乐透,"09,13,17,24,34","07,12"
大乐透,"11,15,21,34,35","06,09"
大乐透,"10,21,25,28,32","09,11"
大乐透,"06,12,19,21,33","03,09"
大乐透,"04,16,17,19,32","03,07"
大乐透,"01,03,09,13,31","04,06"
大乐透,"03,14,18,25,33","01,07"
大乐透,"05,18,20,21,28","06,12"
大乐透,"07,17,18,28,31","01,02"
大乐透,"12,15,27,30,34","01,05"
大乐透,"05,08,10,14,17","01,10"
大乐透,"13,21,22,25,28","01,03"
大乐透,"06,08,20,25,27","05,09"
大乐透,"14,27,30,33,35","08,09"
大乐透,"05,07,24,31,34","09,12"
大乐透,"05,18,20,25,33","07,12"
