类型,红球,篮球
双色球,"10,12,14,22,23,27",13
双色球,"01,08,10,16,24,27",06
双色球,"03,08,10,12,17,25",03
双色球,"08,09,14,24,27,28",14
双色球,"03,05,08,19,21,22",15
双色球,"01,04,08,10,24,25",02
双色球,"06,07,19,23,25,28",13
双色球,"02,07,10,12,20,30",07
双色球,"02,08,09,13,20,22",15
双色球,"01,03,13,14,20,29",16
双色球,"06,09,13,14,19,27",04
双色球,"01,16,17,20,23,26",06
双色球,"01,08,16,18,21,23",05
双色球,"06,10,11,16,17,22",04
双色球,"01,05,06,14,20,22",07
双色球,"03,12,18,19,22,25",14
双色球,"01,06,17,20,28,31",06
双色球,"01,07,09,19,22,23",15
双色球,"04,05,10,17,23,29",02
双色球,"02,06,10,22,25,29",16
双色球,"12,17,20,22,28,31",14
双色球,"02,03,14,26,27,29",01
双色球,"01,03,05,08,12,25",01
双色球,"01,03,06,07,10,27",13
双色球,"01,08,12,19,22,28",12
