开奖期数,开奖时间,前区1,前区2,前区3,前区4,前区5,前区6,后区1
25011,2025-01-26,1,8,7,2,7,9,14
25010,2025-01-24,3,4,8,4,1,0,3
25009,2025-01-21,8,3,7,8,7,4,6
25008,2025-01-19,1,1,3,8,2,4,10
25007,2025-01-17,0,2,7,5,0,2,1
25006,2025-01-14,6,6,4,1,2,5,11
25005,2025-01-12,1,6,3,3,2,4,3
25004,2025-01-10,4,7,2,0,0,2,5
25003,2025-01-07,8,9,3,5,4,8,11
25002,2025-01-05,6,9,6,4,2,8,14
25001,2025-01-03,2,3,3,0,9,2,0
25049,2025-05-04,2,3,5,4,8,7,5
25048,2025-05-02,2,1,7,8,7,8,2
25047,2025-04-29,3,5,2,1,0,3,12
25046,2025-04-27,8,5,7,2,6,2,2
25045,2025-04-25,2,3,4,6,5,1,1
25044,2025-04-22,0,6,1,9,0,8,11
25043,2025-04-20,0,3,0,8,5,7,11
25042,2025-04-18,6,3,9,7,9,7,4
25041,2025-04-15,7,5,1,8,7,1,4
25040,2025-04-13,7,8,3,3,9,8,9
25039,2025-04-11,3,4,5,7,3,3,4
25038,2025-04-08,9,4,9,1,3,5,2
25037,2025-04-06,0,2,2,2,6,6,7
25036,2025-04-04,2,8,4,8,6,5,9
25035,2025-04-01,6,6,6,8,0,3,8
25034,2025-03-30,0,9,2,8,4,0,6
25033,2025-03-28,1,7,7,7,6,6,8
25032,2025-03-25,9,0,5,0,2,5,9
25031,2025-03-23,4,7,8,1,3,5,7
25030,2025-03-21,6,4,7,8,8,8,14
25029,2025-03-18,1,4,9,0,5,7,1
25028,2025-03-16,3,4,1,6,9,7,3
25027,2025-03-14,8,2,3,5,6,0,12
25026,2025-03-11,9,5,4,3,4,8,12
25025,2025-03-09,8,8,6,4,0,1,14
25024,2025-03-07,9,0,7,0,7,0,0
25023,2025-03-04,1,2,4,5,5,7,8
25022,2025-03-02,1,2,0,4,0,6,5
25021,2025-02-28,3,2,2,1,2,8,13
25020,2025-02-25,7,9,8,2,0,5,9
25019,2025-02-23,0,5,0,5,2,3,10
25018,2025-02-21,6,9,6,6,4,2,10
25017,2025-02-18,1,3,0,6,6,8,10
25016,2025-02-16,9,1,5,4,7,6,11
25015,2025-02-14,0,3,6,5,4,9,13
25014,2025-02-11,6,7,5,1,3,5,3
25013,2025-02-09,3,7,4,7,9,0,7
25012,2025-02-07,4,5,6,7,9,5,11
